review_id,customer_name,age,brand,model,price_usd,price_local,currency,exchange_rate_to_usd,rating,review_text,sentiment,country,language,review_date,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,review_length,word_count,helpful_votes,source
1,James Howard,39,Apple,iPhone SE,1443.76,A$2208.95,AUD,1.53,2,"Phone hangs often, regret buying it. Wouldnâ€™t recommend.",Negative,Australia,English,8/4/2024,TRUE,2,1,2,2,2,56,8,3,Amazon
2,Charles Kelly-Morley,46,Apple,iPhone SE,1470.12,Â£1146.69,GBP,0.78,1,Customer service was disappointing. Very disappointed.,Negative,UK,English,16/7/2025,FALSE,1,1,1,1,1,54,6,3,BestBuy
3,Ashley Brennan,32,Apple,iPhone SE,856.62,$856.62,USD,1,5,Build quality feels solid and durable. Absolutely worth it!,Positive,USA,English,22/10/2024,TRUE,5,4,4,4,3,59,9,6,eBay
4,Andrew Graham,35,Apple,iPhone SE,1353.96,C$1868.46,CAD,1.38,4,Display is crisp and vibrant â€” perfect for gaming. Loving it so far!,Positive,Canada,English,6/1/2025,TRUE,3,3,2,3,2,68,13,9,AliExpress
5,Misty Pittman,41,Apple,iPhone SE,1335.66,Ø¯.Ø¥4901.87,AED,3.67,4,Display is crisp and vibrant â€” perfect for gaming. Best purchase of the year!,Positive,UAE,English,8/5/2023,FALSE,3,4,4,4,4,77,14,7,Flipkart
6,Julie Petersen,24,Apple,iPhone SE,927.42,$927.42,USD,1,4,"Face unlock is instant, super smooth. No regrets buying this one.",Positive,USA,English,29/4/2025,TRUE,4,3,5,4,3,65,11,3,BestBuy
7,Miss Diana Price,50,Apple,iPhone SE,817.84,Â£637.92,GBP,0.78,3,Smooth performance even after months of use. No regrets buying this one.,Positive,UK,English,10/2/2024,TRUE,1,3,5,3,2,72,12,4,Amazon
8,Ryan Wilson,30,Apple,iPhone SE,1342.11,$1342.11,USD,1,2,Display started flickering after a month. Very disappointed.,Negative,USA,English,22/4/2023,TRUE,3,1,1,1,2,60,8,1,eBay
9,Holly Shaw,33,Apple,iPhone SE,927.63,A$1419.27,AUD,1.53,5,Battery easily lasts a day with heavy use. No regrets buying this one.,Positive,Australia,English,19/12/2023,FALSE,4,4,5,4,4,70,13,1,Flipkart
10,Mr Gerald Thomas,34,Apple,iPhone SE,1360.35,Â£1061.07,GBP,0.78,3,Display is crisp and vibrant â€” perfect for gaming. Loving it so far!,Positive,UK,English,9/5/2024,TRUE,2,2,3,1,3,68,13,10,BestBuy
